Index,Ag,Au,Cu,Pd,Pt
147,21.22,20.53,20.76,23.62,13.88
148,19.61,19.07,22.28,25.46,13.58
149,17.31,17.97,23.53,27.85,13.35
150,16.2,16.7,25.25,29.07,12.78
151,14.67,15.11,26.39,31.22,12.61
152,13.27,14.02,27.93,33.0,11.76
153,11.65,12.75,28.85,35.26,11.49
154,10.83,11.72,29.54,36.98,10.92
155,10.01,10.36,30.88,38.45,10.3
156,9.48,9.71,30.79,40.51,9.51
157,8.53,8.5,32.02,42.07,8.89
158,41.14,27.72,9.38,8.37,13.38
159,38.96,27.68,10.72,8.91,13.72
160,37.73,26.88,11.43,9.66,14.31
161,35.48,26.35,12.05,11.35,14.77
162,33.27,25.66,13.94,12.22,14.91
163,31.76,24.68,14.74,13.86,14.96
164,29.3,23.73,16.37,15.24,15.37
165,27.8,22.45,17.48,16.94,15.32
166,25.78,21.47,18.96,18.64,15.16
167,23.76,19.89,20.59,20.32,15.45
168,21.88,19.11,21.95,22.17,14.89
169,19.41,17.4,23.6,24.74,14.85
170,18.04,16.45,25.05,26.08,14.39
171,16.39,15.22,26.01,28.15,14.22
172,15.28,14.33,27.14,29.85,13.4
173,13.95,12.93,28.72,31.56,12.84
174,12.23,11.76,29.47,34.03,12.51
175,11.05,10.8,31.05,35.36,11.73
176,9.99,9.88,32.13,36.8,11.2
177,9.37,8.79,32.82,38.48,10.53
178,8.43,8.37,33.57,39.89,9.74
179,42.02,25.8,9.84,7.86,14.49
180,39.29,25.58,11.5,8.43,15.2
181,37.95,24.82,12.23,9.15,15.85
182,35.81,24.32,13.27,10.34,16.27
183,33.8,23.7,14.44,11.59,16.48
184,32.3,22.63,15.22,12.97,16.89
185,29.99,21.97,16.78,14.28,16.98
186,27.63,21.32,18.12,16.06,16.87
187,26.13,19.85,19.47,17.61,16.94
188,24.31,18.67,21.41,18.93,16.68
189,22.02,17.91,22.25,21.59,16.23
190,20.69,16.2,23.65,23.05,16.41
191,18.37,15.61,25.81,24.5,15.72
192,16.5,14.52,26.78,26.94,15.26
193,14.68,13.36,29.39,28.05,14.52
194,13.55,12.14,30.15,29.89,14.27
195,12.45,11.09,31.0,31.76,13.7
196,11.5,10.09,31.94,33.78,12.69
197,10.54,9.02,33.82,34.71,11.91
198,8.91,8.19,35.04,36.36,11.49
199,8.2,7.89,35.5,37.86,10.55
200,41.66,24.17,10.68,7.57,15.92
201,39.91,23.58,11.54,8.31,16.66
202,37.83,23.22,12.78,9.07,17.1
203,35.86,22.72,13.32,10.4,17.71
204,33.9,21.61,15.13,11.41,17.95
205,31.95,21.19,16.08,12.51,18.28
206,30.29,20.53,17.24,13.69,18.26
207,28.5,19.65,18.55,14.99,18.31
208,26.35,18.76,20.19,16.53,18.17
209,24.21,17.15,22.04,18.36,18.24
210,22.02,16.4,23.07,20.47,18.03
211,20.31,15.22,25.22,21.67,17.58
212,18.32,14.43,27.33,23.1,16.83
213,17.17,12.81,28.39,25.03,16.59
214,15.18,12.11,30.39,26.42,15.89
215,14.05,11.24,31.05,28.31,15.35
216,12.62,10.28,32.51,30.2,14.4
217,11.04,9.54,33.71,31.82,13.89
218,10.48,8.57,35.05,32.94,12.96
219,8.96,7.73,36.37,34.69,12.25
220,8.52,7.18,36.54,36.31,11.45
221,42.12,22.23,10.5,7.29,17.86
222,40.08,21.87,12.28,7.56,18.21
223,38.45,21.24,13.3,8.36,18.65
224,36.6,20.39,13.93,10.23,18.85
225,34.36,20.02,15.46,10.81,19.35
226,32.55,19.63,16.92,10.95,19.95
227,30.63,18.66,17.96,13.05,19.7
228,27.77,17.63,20.06,14.6,19.94
229,26.43,16.84,21.74,15.43,19.56
230,24.02,15.88,23.52,17.22,19.36
231,22.41,14.91,24.65,19.0,19.03
232,20.58,13.6,26.83,20.21,18.78
233,18.65,13.33,27.87,21.92,18.23
234,16.67,12.18,29.58,23.8,17.77
235,15.43,11.38,30.35,25.55,17.3
236,14.0,10.49,31.95,27.0,16.56
237,12.01,9.4,33.78,28.85,15.95
238,11.34,8.9,34.5,30.27,14.98
239,10.53,7.97,36.5,31.11,13.9
240,9.67,7.37,37.29,32.87,12.79
241,8.3,6.55,38.46,34.54,12.16
242,40.42,19.81,12.41,7.8,19.56
243,39.05,19.89,12.56,8.25,20.25
244,37.01,19.16,14.28,9.22,20.33
245,34.49,18.56,16.56,9.94,20.45
246,32.04,17.96,17.7,11.57,20.73
247,29.97,17.06,19.31,12.44,21.22
248,28.76,16.24,20.38,13.3,21.32
249,26.16,15.72,22.37,14.88,20.87
250,24.26,14.98,23.58,16.53,20.65
251,21.85,14.24,25.5,17.99,20.41
252,19.99,13.3,27.5,19.32,19.9
253,18.0,12.16,28.87,21.26,19.71
254,16.28,11.34,30.74,23.2,18.44
255,15.3,10.27,32.32,23.65,18.46
256,14.08,9.79,32.67,25.93,17.53
257,12.38,9.1,34.89,27.0,16.63
258,10.95,8.09,36.1,28.89,15.97
259,10.01,7.41,37.67,29.95,14.96
260,9.22,6.89,38.66,31.26,13.97
261,40.96,18.67,12.18,7.17,21.01
262,38.36,17.85,14.52,8.3,20.97
263,36.39,17.49,15.35,9.11,21.66
264,34.78,16.77,16.64,9.78,22.04
265,32.57,16.52,18.22,10.68,22.01
266,30.21,15.95,20.13,11.33,22.39
267,28.84,15.01,20.71,12.88,22.55
268,26.35,14.01,22.53,14.71,22.39
269,24.16,13.53,24.39,15.68,22.24
270,22.09,12.38,26.64,17.25,21.65
271,20.08,11.78,27.85,18.78,21.51
272,18.12,11.22,30.08,19.71,20.87
273,16.46,10.49,31.97,20.79,20.29
274,15.07,9.72,32.39,22.94,19.88
275,13.36,9.2,34.35,24.1,18.99
276,12.1,8.24,36.34,25.2,18.12
277,11.59,7.53,37.12,26.58,17.18
278,9.9,7.05,37.83,28.7,16.52
279,9.27,6.58,39.61,29.47,15.08
280,38.83,16.92,14.43,6.92,22.91
281,36.49,16.05,15.75,7.89,23.82
282,34.58,15.94,17.22,8.68,23.58
283,32.52,14.71,18.95,10.19,23.64
284,30.38,14.3,20.49,10.8,24.03
285,28.08,14.13,22.2,11.71,23.89
286,26.56,13.17,23.24,13.27,23.76
287,23.94,12.28,25.63,14.75,23.4
288,21.94,11.81,27.4,15.89,22.96
289,20.36,11.2,28.81,17.02,22.62
290,17.91,10.21,31.47,18.18,22.22
291,16.58,9.65,32.36,20.03,21.38
292,15.18,8.69,33.83,21.09,21.22
293,13.45,8.34,35.54,22.7,19.97
294,12.21,7.6,37.14,23.68,19.38
295,11.04,6.94,38.22,25.37,18.43
296,10.27,6.42,39.14,26.96,17.21
297,36.34,14.98,15.68,8.13,24.86
298,34.63,14.17,16.93,9.23,25.04
299,32.76,14.15,18.42,9.41,25.26
300,30.29,13.37,20.96,10.04,25.35
301,28.33,12.62,22.71,11.33,25.0
302,25.43,11.89,25.15,12.28,25.25
303,24.17,11.52,25.67,13.82,24.81
304,21.56,10.57,28.01,15.39,24.47
305,19.91,10.36,30.09,15.78,23.86
306,17.93,9.61,31.54,17.69,23.22
307,16.55,8.44,33.26,18.86,22.89
308,14.82,8.18,35.36,19.93,21.71
309,13.62,7.75,36.27,21.2,21.17
310,11.89,6.88,37.74,23.0,20.48
311,10.96,6.66,39.6,23.52,19.27
312,34.02,13.26,17.86,8.2,26.67
313,32.38,12.39,19.33,8.96,26.95
314,29.51,11.72,22.16,10.03,26.58
315,27.48,11.69,23.48,10.76,26.59
316,25.87,10.99,24.8,11.68,26.67
317,23.77,10.15,26.89,13.03,26.16
318,21.46,9.89,28.52,14.09,26.02
319,19.56,9.1,30.91,15.39,25.04
320,17.82,8.67,32.12,16.53,24.86
321,16.19,8.08,34.28,17.53,23.92
322,14.45,7.56,35.99,18.45,23.55
323,13.54,6.89,37.13,19.91,22.53
324,12.17,6.56,38.42,21.44,21.41
325,31.71,11.16,20.32,8.44,28.36
326,29.89,10.84,22.15,9.46,27.66
327,27.44,10.69,23.9,9.92,28.06
328,25.01,9.99,26.01,11.32,27.67
329,22.34,9.52,28.18,12.14,27.82
330,21.0,9.13,29.53,13.33,27.02
331,19.07,8.52,31.63,14.06,26.72
332,17.11,7.92,32.91,15.42,26.63
333,15.66,7.34,35.51,16.29,25.21
334,14.29,6.98,36.19,17.76,24.78
335,12.8,6.5,38.73,18.3,23.67
336,26.52,9.31,24.69,9.93,29.54
337,24.73,9.16,26.51,10.77,28.83
338,22.8,8.59,28.23,11.71,28.67
339,20.91,8.14,30.03,12.37,28.55
340,18.8,7.92,32.22,13.52,27.54
341,17.55,7.21,33.38,14.42,27.44
342,15.56,6.85,35.12,15.56,26.91
