Index,Ag,Au,Pd,Pt,Rh
202,41.39,12.12,10.11,14.43,21.95
203,39.17,13.35,11.36,14.36,21.77
204,37.1,14.55,11.83,15.34,21.18
205,34.41,16.48,13.54,15.08,20.49
206,32.59,18.21,14.55,15.06,19.59
207,31.02,20.11,17.02,14.43,17.42
208,27.49,22.28,17.96,14.55,17.73
209,25.65,24.12,20.3,13.77,16.16
210,23.52,26.85,21.55,13.53,14.56
211,21.3,27.75,23.75,12.91,14.29
212,19.8,30.45,23.82,12.54,13.38
213,17.76,32.2,25.77,11.43,12.84
214,16.26,35.2,26.61,10.87,11.06
215,14.09,36.41,28.88,10.28,10.33
216,13.77,36.59,30.48,10.01,9.17
217,12.57,38.85,31.3,8.76,8.51
218,10.91,40.63,32.54,8.02,7.9
219,9.96,41.31,33.9,7.55,7.28
220,9.23,42.5,35.31,6.36,6.59
221,45.76,9.73,8.11,14.4,22.0
222,44.09,10.72,9.09,15.45,20.65
223,41.74,11.65,10.36,15.67,20.58
224,39.23,13.26,12.54,15.32,19.65
225,37.47,14.23,12.29,16.11,19.9
226,34.85,15.99,14.44,16.18,18.54
227,33.35,17.91,15.28,16.25,17.21
228,30.08,18.98,17.52,15.98,17.44
229,28.32,21.46,18.41,15.4,16.41
230,26.68,22.52,20.66,14.91,15.23
231,24.16,25.14,22.35,14.47,13.88
232,21.76,26.87,24.19,14.16,13.03
233,19.03,29.65,25.81,13.13,12.38
234,17.25,31.26,27.17,12.34,11.98
235,16.9,32.84,28.26,12.06,9.95
236,14.49,34.46,29.9,11.32,9.83
237,14.06,35.73,30.86,10.45,8.91
238,12.62,36.99,32.47,10.14,7.79
239,11.24,38.55,33.89,8.73,7.59
240,9.77,40.68,35.46,7.87,6.22
241,8.64,41.07,36.62,7.31,6.36
242,44.81,10.07,8.85,16.5,19.77
243,43.28,11.29,10.37,16.63,18.43
244,40.19,12.29,11.75,17.21,18.56
245,37.44,14.11,13.54,17.14,17.77
246,35.0,15.4,14.79,17.05,17.76
247,32.56,17.49,16.3,17.26,16.38
248,30.87,18.4,18.69,16.62,15.42
249,28.27,20.31,19.69,16.59,15.13
250,26.29,22.11,21.76,16.27,13.58
251,24.08,23.58,23.75,15.53,13.06
252,21.54,26.11,25.24,15.02,12.09
253,20.04,27.64,26.35,14.59,11.37
254,18.3,29.35,27.79,13.55,11.01
255,16.74,31.09,29.79,13.1,9.29
256,15.02,32.62,31.48,12.27,8.61
257,13.17,34.88,31.95,11.63,8.37
258,11.85,36.68,33.55,10.9,7.02
259,11.35,37.17,35.49,9.56,6.42
260,9.81,39.07,36.46,8.93,5.74
261,44.99,9.91,9.13,17.42,18.54
262,43.08,10.95,10.91,17.38,17.68
263,39.79,11.99,12.22,17.9,18.11
264,37.39,13.61,14.05,18.13,16.82
265,35.32,14.35,15.55,18.31,16.47
266,33.57,15.87,16.81,17.91,15.85
267,30.56,17.48,19.02,18.11,14.83
268,28.12,19.5,20.47,17.62,14.29
269,25.72,21.57,22.54,17.0,13.17
270,23.58,23.19,24.0,16.38,12.85
271,21.32,24.92,26.06,15.95,11.76
272,19.84,26.87,27.97,15.14,10.17
273,17.17,28.1,29.99,14.55,10.2
274,15.29,29.87,31.57,14.24,9.04
275,14.58,31.87,32.56,13.35,7.64
276,13.1,33.27,33.51,12.94,7.18
277,12.36,34.93,33.96,11.66,7.08
278,10.54,36.21,36.75,10.31,6.19
279,10.25,37.13,37.13,9.84,5.65
280,43.09,10.32,11.19,19.51,15.88
281,39.77,11.28,13.22,19.17,16.56
282,38.07,12.49,14.43,19.45,15.56
283,35.43,14.28,16.86,18.75,14.68
284,32.63,15.95,18.24,19.03,14.14
285,30.4,16.68,19.9,19.11,13.9
286,28.77,18.57,21.86,18.53,12.26
287,25.98,20.61,23.07,18.3,12.03
288,23.14,22.19,25.28,17.87,11.53
289,21.61,23.7,26.21,17.62,10.86
290,20.25,24.6,29.03,16.52,9.6
291,18.54,26.72,30.05,15.88,8.81
292,16.3,28.36,31.83,15.23,8.27
293,15.25,29.89,33.32,14.01,7.53
294,13.45,31.17,34.54,12.82,8.02
295,12.05,33.4,35.75,12.4,6.41
296,11.27,34.25,37.35,11.66,5.48
297,40.67,11.24,13.87,20.03,14.19
298,38.37,12.03,15.05,20.47,14.08
299,35.82,13.4,16.51,20.65,13.61
300,33.43,14.51,18.73,20.28,13.06
301,30.28,16.53,20.1,20.48,12.62
302,29.0,17.75,22.15,19.6,11.5
303,26.09,19.21,23.52,19.42,11.76
304,24.51,21.5,25.39,19.27,9.33
305,21.23,22.45,27.76,18.57,9.99
306,20.23,23.61,29.43,18.08,8.65
307,17.46,25.55,32.0,16.44,8.55
308,15.98,27.51,32.99,15.96,7.55
309,14.33,29.12,34.26,14.83,7.47
310,13.18,29.83,36.13,14.54,6.31
311,12.69,31.22,36.93,13.09,6.08
312,37.51,11.79,15.48,21.99,13.23
313,35.5,12.26,17.5,21.95,12.79
314,32.87,14.18,18.79,22.02,12.14
315,30.11,15.93,20.81,21.3,11.85
316,28.62,16.62,22.59,20.87,11.3
317,26.37,17.86,24.82,20.47,10.48
318,24.99,18.86,27.48,19.29,9.38
319,21.71,20.89,28.64,19.13,9.64
320,19.5,22.38,30.63,19.0,8.48
321,18.34,23.51,31.84,18.08,8.23
322,17.1,25.34,33.52,17.0,7.04
323,14.96,26.86,35.1,16.29,6.8
324,13.59,28.49,37.11,15.35,5.47
325,35.41,12.32,17.53,22.75,11.99
326,33.03,13.58,19.54,22.27,11.58
327,30.58,14.54,21.75,22.21,10.92
328,27.91,16.03,23.29,22.08,10.69
329,25.41,17.05,25.64,21.84,10.06
330,23.34,18.28,28.3,20.88,9.2
331,21.65,20.03,29.56,20.11,8.65
332,19.87,21.38,31.27,19.97,7.52
333,17.74,22.29,33.28,19.4,7.28
334,16.39,24.11,34.67,18.22,6.6
335,14.93,25.05,36.63,17.0,6.39
336,31.06,13.56,22.04,23.85,9.49
337,27.7,14.81,24.12,23.31,10.06
338,25.96,15.85,26.3,22.49,9.4
339,23.73,17.71,27.51,22.79,8.27
340,21.35,18.88,30.03,21.98,7.77
341,18.89,19.68,31.98,21.16,8.29
342,17.5,21.08,34.42,19.77,7.23
