Index,Ag,Au,Pd
325,61.82,8.93,29.25
326,57.83,9.88,32.28
327,53.53,10.8,35.67
328,49.68,11.89,38.43
329,45.3,12.41,42.29
330,41.17,13.48,45.35
331,37.37,14.71,47.91
332,34.5,15.32,50.19
333,30.66,16.16,53.19
334,27.83,16.76,55.41
335,24.51,17.98,57.51
336,53.57,10.01,36.42
337,49.52,10.94,39.54
338,45.54,12.03,42.43
339,40.62,12.74,46.64
340,37.68,13.85,48.47
341,33.99,14.28,51.73
342,30.9,15.08,54.01
