Ag,Au,Pd,Composition,Similarity_to_resistance
48.51,25.79,25.7,Ag48.51Au25.79Pd25.70,0.38734162
44.3,28.36,27.34,Ag44.30Au28.36Pd27.34,0.38785762
40.89,30.16,28.95,Ag40.89Au30.16Pd28.95,0.3884924
37.48,31.89,30.64,Ag37.48Au31.89Pd30.64,0.3891331
33.21,34.33,32.46,Ag33.21Au34.33Pd32.46,0.38952136
30.22,35.88,33.9,Ag30.22Au35.88Pd33.90,0.38989004
26.68,37.13,36.19,Ag26.68Au37.13Pd36.19,0.3908642
24.33,38.02,37.65,Ag24.33Au38.02Pd37.65,0.39139348
21.25,39.78,38.97,Ag21.25Au39.78Pd38.97,0.3913945
20.29,39.91,39.8,Ag20.29Au39.91Pd39.80,0.39182132
16.87,41.47,41.66,Ag16.87Au41.47Pd41.66,0.39212203
75.37,11.19,13.44,Ag75.37Au11.19Pd13.44,0.3799875
72.25,13.28,14.47,Ag72.25Au13.28Pd14.47,0.38060564
68.6,14.8,16.6,Ag68.60Au14.80Pd16.60,0.38222197
65.85,16.09,18.06,Ag65.85Au16.09Pd18.06,0.38325712
62.08,18.25,19.67,Ag62.08Au18.25Pd19.67,0.38422084
57.58,20.16,22.26,Ag57.58Au20.16Pd22.26,0.38597313
53.42,22.49,24.09,Ag53.42Au22.49Pd24.09,0.38692066
49.08,24.79,26.13,Ag49.08Au24.79Pd26.13,0.38794488
44.84,26.91,28.26,Ag44.84Au26.91Pd28.26,0.38897982
41.61,28.12,30.27,Ag41.61Au28.12Pd30.27,0.39010733
36.81,31.2,31.99,Ag36.81Au31.20Pd31.99,0.39032948
33.53,32.51,33.96,Ag33.53Au32.51Pd33.96,0.39122427
30.65,33.74,35.61,Ag30.65Au33.74Pd35.61,0.39186358
27.5,35.37,37.13,Ag27.50Au35.37Pd37.13,0.39219564
24.43,36.81,38.75,Ag24.43Au36.81Pd38.75,0.3925972
21.71,38.13,40.16,Ag21.71Au38.13Pd40.16,0.3928554
19.05,39.22,41.73,Ag19.05Au39.22Pd41.73,0.3932541
18.24,39.63,42.12,Ag18.24Au39.63Pd42.12,0.39327765
15.62,40.6,43.77,Ag15.62Au40.60Pd43.77,0.39370137
75.69,10.85,13.47,Ag75.69Au10.85Pd13.47,0.38005638
72.62,12.28,15.1,Ag72.62Au12.28Pd15.10,0.38129842
69.74,13.72,16.54,Ag69.74Au13.72Pd16.54,0.38233906
65.44,15.64,18.92,Ag65.44Au15.64Pd18.92,0.38406512
61.69,17.3,21.01,Ag61.69Au17.30Pd21.01,0.38552088
57.68,19.69,22.63,Ag57.68Au19.69Pd22.63,0.38637567
54.48,21.0,24.53,Ag54.48Au21.00Pd24.53,0.38761967
50.2,23.42,26.38,Ag50.20Au23.42Pd26.38,0.38849607
45.78,25.73,28.5,Ag45.78Au25.73Pd28.50,0.38949966
42.01,27.32,30.68,Ag42.01Au27.32Pd30.68,0.39065188
38.42,29.13,32.45,Ag38.42Au29.13Pd32.45,0.39135322
33.96,31.05,34.99,Ag33.96Au31.05Pd34.99,0.39245233
31.14,32.64,36.22,Ag31.14Au32.64Pd36.22,0.39268613
27.35,33.94,38.71,Ag27.35Au33.94Pd38.71,0.39377353
24.72,34.71,40.57,Ag24.72Au34.71Pd40.57,0.3945964
22.1,36.59,41.3,Ag22.10Au36.59Pd41.30,0.39421594
19.85,37.21,42.94,Ag19.85Au37.21Pd42.94,0.39487356
18.46,38.23,43.3,Ag18.46Au38.23Pd43.30,0.39459917
16.01,39.22,44.77,Ag16.01Au39.22Pd44.77,0.39491558
78.45,9.02,12.53,Ag78.45Au9.02Pd12.53,0.3794437
75.69,10.55,13.76,Ag75.69Au10.55Pd13.76,0.38035104
72.32,11.73,15.96,Ag72.32Au11.73Pd15.96,0.38212278
69.68,13.32,17.0,Ag69.68Au13.32Pd17.00,0.3827966
66.57,15.05,18.38,Ag66.57Au15.05Pd18.38,0.38370588
62.2,16.74,21.05,Ag62.20Au16.74Pd21.05,0.38566038
58.47,18.55,22.97,Ag58.47Au18.55Pd22.97,0.38689214
54.48,20.67,24.85,Ag54.48Au20.67Pd24.85,0.3879519
50.21,22.52,27.27,Ag50.21Au22.52Pd27.27,0.3894148
45.87,24.91,29.22,Ag45.87Au24.91Pd29.22,0.39027303
42.33,26.08,31.59,Ag42.33Au26.08Pd31.59,0.39169028
38.43,28.08,33.49,Ag38.43Au28.08Pd33.49,0.3924294
34.3,29.78,35.92,Ag34.30Au29.78Pd35.92,0.39352924
31.22,31.5,37.28,Ag31.22Au31.50Pd37.28,0.39380842
27.3,32.4,40.3,Ag27.30Au32.40Pd40.30,0.39537644
24.79,33.74,41.47,Ag24.79Au33.74Pd41.47,0.39554125
22.13,34.89,42.98,Ag22.13Au34.89Pd42.98,0.3959347
19.84,35.58,44.58,Ag19.84Au35.58Pd44.58,0.396528
18.4,36.27,45.33,Ag18.40Au36.27Pd45.33,0.39662105
15.91,37.18,46.91,Ag15.91Au37.18Pd46.91,0.39702266
14.02,37.45,48.53,Ag14.02Au37.45Pd48.53,0.3977058
78.58,8.59,12.83,Ag78.58Au8.59Pd12.83,0.37975833
75.57,10.25,14.18,Ag75.57Au10.25Pd14.18,0.38075846
72.87,11.04,16.1,Ag72.87Au11.04Pd16.10,0.3823375
69.64,12.52,17.84,Ag69.64Au12.52Pd17.84,0.38363832
65.92,14.25,19.83,Ag65.92Au14.25Pd19.83,0.38506797
62.75,15.46,21.79,Ag62.75Au15.46Pd21.79,0.38650632
58.78,17.52,23.69,Ag58.78Au17.52Pd23.69,0.38768655
54.69,19.21,26.1,Ag54.69Au19.21Pd26.10,0.38927197
49.62,21.49,28.89,Ag49.62Au21.49Pd28.89,0.39091897
46.59,23.28,30.13,Ag46.59Au23.28Pd30.13,0.3914001
41.91,25.1,32.99,Ag41.91Au25.10Pd32.99,0.3929928
38.16,26.61,35.23,Ag38.16Au26.61Pd35.23,0.39411438
34.74,28.18,37.07,Ag34.74Au28.18Pd37.07,0.39485383
31.01,29.88,39.11,Ag31.01Au29.88Pd39.11,0.3955887
27.82,31.0,41.17,Ag27.82Au31.00Pd41.17,0.39646035
25.01,32.2,42.79,Ag25.01Au32.20Pd42.79,0.39695728
22.06,33.58,44.36,Ag22.06Au33.58Pd44.36,0.397286
19.8,34.05,46.16,Ag19.80Au34.05Pd46.16,0.39807397
18.21,34.64,47.15,Ag18.21Au34.64Pd47.15,0.39833707
15.71,35.79,48.5,Ag15.71Au35.79Pd48.50,0.3984951
15.12,35.63,49.26,Ag15.12Au35.63Pd49.26,0.39894876
78.86,8.3,12.85,Ag78.86Au8.30Pd12.85,0.37980682
76.02,9.5,14.48,Ag76.02Au9.50Pd14.48,0.38111353
73.05,10.42,16.53,Ag73.05Au10.42Pd16.53,0.38279387
69.42,12.22,18.36,Ag69.42Au12.22Pd18.36,0.38412845
66.35,13.66,19.98,Ag66.35Au13.66Pd19.98,0.38529134
63.0,14.91,22.09,Ag63.00Au14.91Pd22.09,0.38685203
58.64,16.61,24.74,Ag58.64Au16.61Pd24.74,0.38871777
54.97,18.55,26.48,Ag54.97Au18.55Pd26.48,0.38971618
50.62,20.35,29.03,Ag50.62Au20.35Pd29.03,0.39130214
46.98,21.99,31.03,Ag46.98Au21.99Pd31.03,0.39241254
42.17,23.77,34.06,Ag42.17Au23.77Pd34.06,0.39414534
38.27,25.51,36.22,Ag38.27Au25.51Pd36.22,0.395143
34.49,26.94,38.57,Ag34.49Au26.94Pd38.57,0.39626595
31.04,28.36,40.59,Ag31.04Au28.36Pd40.59,0.39708108
27.87,29.42,42.71,Ag27.87Au29.42Pd42.71,0.3980004
24.69,30.79,44.52,Ag24.69Au30.79Pd44.52,0.39853555
22.34,31.83,45.83,Ag22.34Au31.83Pd45.83,0.39885148
20.3,32.39,47.31,Ag20.30Au32.39Pd47.31,0.39942098
17.29,33.18,49.52,Ag17.29Au33.18Pd49.52,0.4002208
16.21,33.97,49.82,Ag16.21Au33.97Pd49.82,0.40000772
14.45,34.39,51.16,Ag14.45Au34.39Pd51.16,0.40046147
79.29,7.86,12.85,Ag79.29Au7.86Pd12.85,0.3798549
76.41,9.0,14.59,Ag76.41Au9.00Pd14.59,0.38126907
73.41,10.3,16.29,Ag73.41Au10.30Pd16.29,0.38260034
70.28,11.55,18.17,Ag70.28Au11.55Pd18.17,0.38406068
66.5,12.63,20.87,Ag66.50Au12.63Pd20.87,0.38620228
63.18,14.34,22.47,Ag63.18Au14.34Pd22.47,0.387267
58.86,15.99,25.15,Ag58.86Au15.99Pd25.15,0.38916677
54.39,17.77,27.84,Ag54.39Au17.77Pd27.84,0.39095578
51.02,19.36,29.63,Ag51.02Au19.36Pd29.63,0.39199275
46.64,20.85,32.52,Ag46.64Au20.85Pd32.52,0.3938099
42.64,22.85,34.52,Ag42.64Au22.85Pd34.52,0.39473188
38.61,23.95,37.44,Ag38.61Au23.95Pd37.44,0.39645618
34.05,26.05,39.9,Ag34.05Au26.05Pd39.90,0.39743263
31.58,27.06,41.36,Ag31.58Au27.06Pd41.36,0.39802384
27.64,28.59,43.78,Ag27.64Au28.59Pd43.78,0.39895356
24.93,29.63,45.44,Ag24.93Au29.63Pd45.44,0.39952525
21.99,30.3,47.71,Ag21.99Au30.30Pd47.71,0.40051967
19.56,31.28,49.16,Ag19.56Au31.28Pd49.16,0.40087545
17.95,31.53,50.52,Ag17.95Au31.53Pd50.52,0.40145957
16.41,32.54,51.05,Ag16.41Au32.54Pd51.05,0.40126914
14.34,33.29,52.37,Ag14.34Au33.29Pd52.37,0.40155208
79.63,7.44,12.92,Ag79.63Au7.44Pd12.92,0.379962
76.15,8.55,15.3,Ag76.15Au8.55Pd15.30,0.38194513
72.98,9.74,17.28,Ag72.98Au9.74Pd17.28,0.38353163
70.2,10.76,19.04,Ag70.20Au10.76Pd19.04,0.38491622
66.78,12.08,21.14,Ag66.78Au12.08Pd21.14,0.38651314
62.47,13.64,23.89,Ag62.47Au13.64Pd23.89,0.38855755
59.0,14.91,26.09,Ag59.00Au14.91Pd26.09,0.39012712
55.3,16.62,28.08,Ag55.30Au16.62Pd28.08,0.3913828
50.83,18.26,30.91,Ag50.83Au18.26Pd30.91,0.3932235
46.63,19.94,33.44,Ag46.63Au19.94Pd33.44,0.39471614
42.4,21.49,36.1,Ag42.40Au21.49Pd36.10,0.39623237
38.29,22.91,38.81,Ag38.29Au22.91Pd38.81,0.39769465
34.9,24.26,40.83,Ag34.90Au24.26Pd40.83,0.39861938
31.05,25.52,43.43,Ag31.05Au25.52Pd43.43,0.39984387
28.52,26.69,44.79,Ag28.52Au26.69Pd44.79,0.40025502
24.82,28.08,47.1,Ag24.82Au28.08Pd47.10,0.40107027
22.75,28.7,48.55,Ag22.75Au28.70Pd48.55,0.40162456
19.55,29.94,50.5,Ag19.55Au29.94Pd50.50,0.4021384
17.55,30.42,52.03,Ag17.55Au30.42Pd52.03,0.4026929
16.07,30.71,53.22,Ag16.07Au30.71Pd53.22,0.40313447
14.03,31.6,54.38,Ag14.03Au31.60Pd54.38,0.40326166
79.02,7.32,13.65,Ag79.02Au7.32Pd13.65,0.38062295
76.77,7.99,15.25,Ag76.77Au7.99Pd15.25,0.38196254
73.35,9.16,17.49,Ag73.35Au9.16Pd17.49,0.38378528
70.37,10.26,19.38,Ag70.37Au10.26Pd19.38,0.38527292
67.22,11.39,21.39,Ag67.22Au11.39Pd21.39,0.38682553
63.1,12.95,23.95,Ag63.10Au12.95Pd23.95,0.38872084
59.39,14.42,26.18,Ag59.39Au14.42Pd26.18,0.39029047
55.25,15.68,29.07,Ag55.25Au15.68Pd29.07,0.39234832
50.64,17.48,31.87,Ag50.64Au17.48Pd31.87,0.39412796
46.23,18.97,34.8,Ag46.23Au18.97Pd34.80,0.3959509
42.25,20.02,37.73,Ag42.25Au20.02Pd37.73,0.39776784
37.99,21.87,40.14,Ag37.99Au21.87Pd40.14,0.3988935
34.51,23.21,42.28,Ag34.51Au23.21Pd42.28,0.39988184
31.69,24.57,43.73,Ag31.69Au24.57Pd43.73,0.40035182
27.65,25.47,46.87,Ag27.65Au25.47Pd46.87,0.4019131
24.77,26.98,48.26,Ag24.77Au26.98Pd48.26,0.4021364
22.46,27.46,50.08,Ag22.46Au27.46Pd50.08,0.4029351
19.53,28.41,52.06,Ag19.53Au28.41Pd52.06,0.4035657
17.66,29.11,53.24,Ag17.66Au29.11Pd53.24,0.40384477
16.08,29.63,54.29,Ag16.08Au29.63Pd54.29,0.40411365
14.09,30.26,55.64,Ag14.09Au30.26Pd55.64,0.40444136
79.03,6.77,14.2,Ag79.03Au6.77Pd14.20,0.3811651
76.3,7.98,15.72,Ag76.30Au7.98Pd15.72,0.38237774
73.48,8.77,17.75,Ag73.48Au8.77Pd17.75,0.38405764
70.15,9.82,20.03,Ag70.15Au9.82Pd20.03,0.385888
66.48,10.79,22.74,Ag66.48Au10.79Pd22.74,0.38804406
62.93,12.25,24.82,Ag62.93Au12.25Pd24.82,0.38954914
59.58,13.41,27.01,Ag59.58Au13.41Pd27.01,0.39113525
55.53,15.06,29.41,Ag55.53Au15.06Pd29.41,0.39273578
50.23,16.7,33.07,Ag50.23Au16.70Pd33.07,0.39520064
46.41,17.74,35.84,Ag46.41Au17.74Pd35.84,0.39700273
41.99,19.41,38.6,Ag41.99Au19.41Pd38.60,0.39853203
38.16,20.93,40.92,Ag38.16Au20.93Pd40.92,0.3996809
34.78,21.76,43.45,Ag34.78Au21.76Pd43.45,0.40107593
31.31,22.86,45.82,Ag31.31Au22.86Pd45.82,0.40218928
27.79,24.43,47.78,Ag27.79Au24.43Pd47.78,0.402803
24.76,25.17,50.07,Ag24.76Au25.17Pd50.07,0.40380782
22.11,26.3,51.59,Ag22.11Au26.30Pd51.59,0.40417928
20.15,27.05,52.8,Ag20.15Au27.05Pd52.80,0.4044925
17.39,27.85,54.75,Ag17.39Au27.85Pd54.75,0.40510017
16.01,28.51,55.48,Ag16.01Au28.51Pd55.48,0.40515006
14.13,28.76,57.11,Ag14.13Au28.76Pd57.11,0.40575874
75.97,7.45,16.58,Ag75.97Au7.45Pd16.58,0.38318887
73.34,8.25,18.41,Ag73.34Au8.25Pd18.41,0.38469028
70.18,9.51,20.3,Ag70.18Au9.51Pd20.30,0.38616014
66.67,10.45,22.88,Ag66.67Au10.45Pd22.88,0.38821125
62.69,11.75,25.56,Ag62.69Au11.75Pd25.56,0.39023423
59.05,12.96,27.99,Ag59.05Au12.96Pd27.99,0.3919981
54.57,14.11,31.32,Ag54.57Au14.11Pd31.32,0.39440173
50.63,15.66,33.7,Ag50.63Au15.66Pd33.70,0.39589798
46.72,17.04,36.24,Ag46.72Au17.04Pd36.24,0.39745355
42.49,18.23,39.27,Ag42.49Au18.23Pd39.27,0.3993016
38.4,19.52,42.08,Ag38.40Au19.52Pd42.08,0.40084502
34.67,20.78,44.55,Ag34.67Au20.78Pd44.55,0.40206182
30.74,22.1,47.16,Ag30.74Au22.10Pd47.16,0.40323305
27.09,23.22,49.69,Ag27.09Au23.22Pd49.69,0.40430263
25.21,24.15,50.64,Ag25.21Au24.15Pd50.64,0.40449017
21.86,25.02,53.11,Ag21.86Au25.02Pd53.11,0.40545252
19.96,25.94,54.1,Ag19.96Au25.94Pd54.10,0.40557832
17.43,26.63,55.94,Ag17.43Au26.63Pd55.94,0.40616325
16.23,26.76,57.01,Ag16.23Au26.76Pd57.01,0.4065898
76.5,7.21,16.29,Ag76.50Au7.21Pd16.29,0.3829608
73.58,7.88,18.55,Ag73.58Au7.88Pd18.55,0.38485247
69.88,8.97,21.15,Ag69.88Au8.97Pd21.15,0.38695085
66.21,10.08,23.72,Ag66.21Au10.08Pd23.72,0.38896233
63.43,10.86,25.71,Ag63.43Au10.86Pd25.71,0.39049375
58.3,12.41,29.29,Ag58.30Au12.41Pd29.29,0.39312536
54.94,13.23,31.82,Ag54.94Au13.23Pd31.82,0.39495486
50.32,14.41,35.27,Ag50.32Au14.41Pd35.27,0.39732295
46.68,15.82,37.5,Ag46.68Au15.82Pd37.50,0.3986373
42.65,17.07,40.27,Ag42.65Au17.07Pd40.27,0.40027902
38.34,18.6,43.07,Ag38.34Au18.60Pd43.07,0.40174234
34.83,19.57,45.61,Ag34.83Au19.57Pd45.61,0.4030778
31.43,20.71,47.85,Ag31.43Au20.71Pd47.85,0.4040869
27.63,22.11,50.25,Ag27.63Au22.11Pd50.25,0.404998
24.88,22.8,52.32,Ag24.88Au22.80Pd52.32,0.40587085
22.06,23.48,54.47,Ag22.06Au23.48Pd54.47,0.40671444
20.05,24.33,55.61,Ag20.05Au24.33Pd55.61,0.40694338
17.64,25.23,57.13,Ag17.64Au25.23Pd57.13,0.40728316
16.07,25.5,58.43,Ag16.07Au25.50Pd58.43,0.40774307
73.51,7.66,18.83,Ag73.51Au7.66Pd18.83,0.38512093
69.82,8.57,21.6,Ag69.82Au8.57Pd21.60,0.38738465
66.24,9.33,24.43,Ag66.24Au9.33Pd24.43,0.38965777
62.57,10.64,26.8,Ag62.57Au10.64Pd26.80,0.39141354
58.57,11.3,30.14,Ag58.57Au11.30Pd30.14,0.39398068
54.69,12.68,32.63,Ag54.69Au12.68Pd32.63,0.39567548
50.81,13.92,35.27,Ag50.81Au13.92Pd35.27,0.39742303
45.95,14.95,39.1,Ag45.95Au14.95Pd39.10,0.39996618
42.46,16.16,41.38,Ag42.46Au16.16Pd41.38,0.40125495
37.69,17.44,44.87,Ag37.69Au17.44Pd44.87,0.40321624
34.57,18.44,46.99,Ag34.57Au18.44Pd46.99,0.40425554
30.97,19.68,49.34,Ag30.97Au19.68Pd49.34,0.4052772
28.11,20.56,51.34,Ag28.11Au20.56Pd51.34,0.40611434
25.39,21.49,53.12,Ag25.39Au21.49Pd53.12,0.40675274
22.2,22.36,55.44,Ag22.20Au22.36Pd55.44,0.40761077
20.08,22.86,57.07,Ag20.08Au22.86Pd57.07,0.4081956
17.97,23.88,58.15,Ag17.97Au23.88Pd58.15,0.40828645
69.53,7.93,22.54,Ag69.53Au7.93Pd22.54,0.3882565
66.53,9.04,24.43,Ag66.53Au9.04Pd24.43,0.3896969
62.26,9.99,27.75,Ag62.26Au9.99Pd27.75,0.39228213
58.3,10.76,30.94,Ag58.30Au10.76Pd30.94,0.3946995
54.32,11.87,33.82,Ag54.32Au11.87Pd33.82,0.39672637
50.37,13.16,36.47,Ag50.37Au13.16Pd36.47,0.39845848
45.82,14.26,39.92,Ag45.82Au14.26Pd39.92,0.40069366
41.52,15.43,43.06,Ag41.52Au15.43Pd43.06,0.4025548
38.38,16.41,45.21,Ag38.38Au16.41Pd45.21,0.40370613
34.39,17.44,48.17,Ag34.39Au17.44Pd48.17,0.40525472
31.4,18.47,50.14,Ag31.40Au18.47Pd50.14,0.40610433
27.87,19.24,52.88,Ag27.87Au19.24Pd52.88,0.40738574
24.91,20.12,54.97,Ag24.91Au20.12Pd54.97,0.40817755
21.96,21.09,56.94,Ag21.96Au21.09Pd56.94,0.4088014
20.12,22.2,57.68,Ag20.12Au22.20Pd57.68,0.40873125
65.61,8.68,25.71,Ag65.61Au8.68Pd25.71,0.3908035
61.63,9.63,28.74,Ag61.63Au9.63Pd28.74,0.3931319
57.99,10.49,31.51,Ag57.99Au10.49Pd31.51,0.395191
54.1,11.19,34.71,Ag54.10Au11.19Pd34.71,0.39752245
49.66,12.53,37.81,Ag49.66Au12.53Pd37.81,0.39955825
45.87,13.33,40.8,Ag45.87Au13.33Pd40.80,0.4015082
41.77,14.38,43.85,Ag41.77Au14.38Pd43.85,0.40333134
38.18,15.37,46.45,Ag38.18Au15.37Pd46.45,0.4047592
34.3,16.66,49.05,Ag34.30Au16.66Pd49.05,0.40599746
31.12,17.23,51.65,Ag31.12Au17.23Pd51.65,0.40733504
28.15,18.14,53.72,Ag28.15Au18.14Pd53.72,0.40818253
25.35,19.15,55.5,Ag25.35Au19.15Pd55.50,0.4087754
21.99,19.88,58.12,Ag21.99Au19.88Pd58.12,0.40979406
61.82,8.93,29.25,Ag61.82Au8.93Pd29.25,0.3936425
57.83,9.88,32.28,Ag57.83Au9.88Pd32.28,0.39588782
53.53,10.8,35.67,Ag53.53Au10.80Pd35.67,0.3983109
49.68,11.89,38.43,Ag49.68Au11.89Pd38.43,0.4001309
45.3,12.41,42.29,Ag45.30Au12.41Pd42.29,0.402729
41.17,13.48,45.35,Ag41.17Au13.48Pd45.35,0.40452263
37.37,14.71,47.91,Ag37.37Au14.71Pd47.91,0.4058379
34.5,15.32,50.19,Ag34.50Au15.32Pd50.19,0.40704048
30.66,16.16,53.19,Ag30.66Au16.16Pd53.19,0.40850294
27.83,16.76,55.41,Ag27.83Au16.76Pd55.41,0.4095047
24.51,17.98,57.51,Ag24.51Au17.98Pd57.51,0.41016126
53.57,10.01,36.42,Ag53.57Au10.01Pd36.42,0.39900702
49.52,10.94,39.54,Ag49.52Au10.94Pd39.54,0.40110838
45.54,12.03,42.43,Ag45.54Au12.03Pd42.43,0.40290487
40.62,12.74,46.64,Ag40.62Au12.74Pd46.64,0.40552318
37.68,13.85,48.47,Ag37.68Au13.85Pd48.47,0.4063971
33.99,14.28,51.73,Ag33.99Au14.28Pd51.73,0.4082178
30.9,15.08,54.01,Ag30.90Au15.08Pd54.01,0.40926933
