index,Ag,Au,Pd,Pt,Composition,Similarity_to_Resistance
30,20.76,39.56,26.25,13.43,Ag20.76Au39.56Pd26.25Pt13.43,0.391303
31,19.37,37.42,29.38,13.83,Ag19.37Au37.42Pd29.38Pt13.83,0.3920942
32,18.46,36.39,31.87,13.28,Ag18.46Au36.39Pd31.87Pt13.28,0.39140686
33,17.05,33.96,35.17,13.83,Ag17.05Au33.96Pd35.17Pt13.83,0.39221102
34,15.65,32.41,38.64,13.3,Ag15.65Au32.41Pd38.64Pt13.30,0.39139467
35,14.98,29.81,41.94,13.27,Ag14.98Au29.81Pd41.94Pt13.27,0.39108348
36,13.76,27.68,46.18,12.39,Ag13.76Au27.68Pd46.18Pt12.39,0.3894368
37,13.86,25.45,48.49,12.2,Ag13.86Au25.45Pd48.49Pt12.20,0.38877496
38,11.88,23.46,52.48,12.18,Ag11.88Au23.46Pd52.48Pt12.18,0.38818687
39,31.01,44.5,10.88,13.6,Ag31.01Au44.50Pd10.88Pt13.60,0.3884371
40,29.43,44.2,12.25,14.11,Ag29.43Au44.20Pd12.25Pt14.11,0.3896706
41,28.73,42.76,14.14,14.37,Ag28.73Au42.76Pd14.14Pt14.37,0.39043632
42,27.23,42.37,15.96,14.44,Ag27.23Au42.37Pd15.96Pt14.44,0.39101803
43,25.55,41.2,18.34,14.91,Ag25.55Au41.20Pd18.34Pt14.91,0.3922145
44,25.06,39.76,20.35,14.82,Ag25.06Au39.76Pd20.35Pt14.82,0.3923393
45,23.04,39.57,22.56,14.84,Ag23.04Au39.57Pd22.56Pt14.84,0.39281863
46,21.7,37.65,25.75,14.9,Ag21.70Au37.65Pd25.75Pt14.90,0.39323306
47,21.06,36.18,28.04,14.73,Ag21.06Au36.18Pd28.04Pt14.73,0.39312002
48,19.29,34.61,31.44,14.66,Ag19.29Au34.61Pd31.44Pt14.66,0.39323068
49,18.25,32.81,35.08,13.86,Ag18.25Au32.81Pd35.08Pt13.86,0.3921045
50,17.32,30.6,38.26,13.83,Ag17.32Au30.60Pd38.26Pt13.83,0.3919428
51,15.64,28.53,41.43,14.4,Ag15.64Au28.53Pd41.43Pt14.40,0.3925925
52,14.79,26.63,44.53,14.05,Ag14.79Au26.63Pd44.53Pt14.05,0.3918
53,13.11,24.59,48.75,13.55,Ag13.11Au24.59Pd48.75Pt13.55,0.3906175
54,12.2,23.07,51.64,13.1,Ag12.20Au23.07Pd51.64Pt13.10,0.38954565
55,12.37,20.36,54.9,12.37,Ag12.37Au20.36Pd54.90Pt12.37,0.38781908
56,34.16,43.03,8.76,14.05,Ag34.16Au43.03Pd8.76Pt14.05,0.3881305
57,32.46,42.4,10.6,14.54,Ag32.46Au42.40Pd10.60Pt14.54,0.38948104
58,31.04,41.65,12.19,15.12,Ag31.04Au41.65Pd12.19Pt15.12,0.3908257
59,29.9,41.71,13.09,15.3,Ag29.90Au41.71Pd13.09Pt15.30,0.39141995
60,28.42,39.7,15.88,16.0,Ag28.42Au39.70Pd15.88Pt16.00,0.39302573
61,27.07,39.21,17.85,15.87,Ag27.07Au39.21Pd17.85Pt15.87,0.39327824
62,26.46,38.51,19.25,15.78,Ag26.46Au38.51Pd19.25Pt15.78,0.39337695
63,24.25,37.33,21.97,16.45,Ag24.25Au37.33Pd21.97Pt16.45,0.39485914
64,23.08,35.78,25.03,16.12,Ag23.08Au35.78Pd25.03Pt16.12,0.39470434
65,20.54,34.44,28.7,16.33,Ag20.54Au34.44Pd28.70Pt16.33,0.39540434
66,20.4,32.67,30.4,16.53,Ag20.40Au32.67Pd30.40Pt16.53,0.39566693
67,18.84,30.58,34.32,16.26,Ag18.84Au30.58Pd34.32Pt16.26,0.3953427
68,18.07,28.92,37.35,15.66,Ag18.07Au28.92Pd37.35Pt15.66,0.39440274
69,16.36,26.71,41.68,15.24,Ag16.36Au26.71Pd41.68Pt15.24,0.3935892
70,15.39,24.9,44.85,14.86,Ag15.39Au24.90Pd44.85Pt14.86,0.3927463
71,14.62,23.48,46.97,14.93,Ag14.62Au23.48Pd46.97Pt14.93,0.39257526
72,13.76,21.64,50.23,14.37,Ag13.76Au21.64Pd50.23Pt14.37,0.3913141
73,11.98,20.13,54.31,13.58,Ag11.98Au20.13Pd54.31Pt13.58,0.3895864
74,11.72,18.46,56.98,12.84,Ag11.72Au18.46Pd56.98Pt12.84,0.38798192
75,34.97,40.72,9.03,15.28,Ag34.97Au40.72Pd9.03Pt15.28,0.38977826
76,33.37,40.06,10.48,16.09,Ag33.37Au40.06Pd10.48Pt16.09,0.39149487
77,32.38,39.68,11.85,16.08,Ag32.38Au39.68Pd11.85Pt16.08,0.39188474
78,31.08,38.96,13.54,16.43,Ag31.08Au38.96Pd13.54Pt16.43,0.39285782
79,28.9,38.43,15.28,17.39,Ag28.90Au38.43Pd15.28Pt17.39,0.39482248
80,27.6,37.56,17.87,16.97,Ag27.60Au37.56Pd17.87Pt16.97,0.39472744
81,27.41,36.54,18.88,17.17,Ag27.41Au36.54Pd18.88Pt17.17,0.39512116
82,24.32,35.84,22.26,17.58,Ag24.32Au35.84Pd22.26Pt17.58,0.3964237
83,23.78,34.57,24.71,16.94,Ag23.78Au34.57Pd24.71Pt16.94,0.39571625
84,22.91,32.43,27.26,17.39,Ag22.91Au32.43Pd27.26Pt17.39,0.39649722
85,20.72,31.53,30.37,17.37,Ag20.72Au31.53Pd30.37Pt17.37,0.3967585
86,18.72,29.9,34.11,17.27,Ag18.72Au29.90Pd34.11Pt17.27,0.39672947
87,18.36,27.61,36.73,17.29,Ag18.36Au27.61Pd36.73Pt17.29,0.3965937
88,17.56,26.06,39.8,16.57,Ag17.56Au26.06Pd39.80Pt16.57,0.39542234
89,15.97,24.58,43.33,16.11,Ag15.97Au24.58Pd43.33Pt16.11,0.3945539
90,14.55,22.58,46.82,16.06,Ag14.55Au22.58Pd46.82Pt16.06,0.39408448
91,14.47,20.03,50.15,15.35,Ag14.47Au20.03Pd50.15Pt15.35,0.39250338
92,12.33,19.17,53.64,14.86,Ag12.33Au19.17Pd53.64Pt14.86,0.39135465
93,11.95,17.02,56.46,14.57,Ag11.95Au17.02Pd56.46Pt14.57,0.39030665
94,37.81,38.73,7.68,15.78,Ag37.81Au38.73Pd7.68Pt15.78,0.3896324
95,35.91,38.37,8.47,17.26,Ag35.91Au38.37Pd8.47Pt17.26,0.39228168
96,35.29,37.91,9.63,17.17,Ag35.29Au37.91Pd9.63Pt17.17,0.39247757
97,33.51,36.91,12.02,17.55,Ag33.51Au36.91Pd12.02Pt17.55,0.39373595
98,32.46,37.17,12.94,17.43,Ag32.46Au37.17Pd12.94Pt17.43,0.3939063
99,30.17,36.34,14.63,18.86,Ag30.17Au36.34Pd14.63Pt18.86,0.39654383
100,28.98,35.34,16.82,18.86,Ag28.98Au35.34Pd16.82Pt18.86,0.39698726
101,27.73,34.52,18.87,18.87,Ag27.73Au34.52Pd18.87Pt18.87,0.39739862
102,26.48,33.37,20.92,19.23,Ag26.48Au33.37Pd20.92Pt19.23,0.39823365
103,24.37,32.41,23.89,19.33,Ag24.37Au32.41Pd23.89Pt19.33,0.39884278
104,24.1,30.0,26.87,19.04,Ag24.10Au30.00Pd26.87Pt19.04,0.39850956
105,22.06,29.5,29.37,19.06,Ag22.06Au29.50Pd29.37Pt19.06,0.3988357
106,19.31,27.91,33.2,19.58,Ag19.31Au27.91Pd33.20Pt19.58,0.399756
107,20.54,25.77,35.3,18.39,Ag20.54Au25.77Pd35.30Pt18.39,0.39782894
108,17.8,24.86,38.84,18.5,Ag17.80Au24.86Pd38.84Pt18.50,0.39802745
109,16.71,22.71,42.57,18.0,Ag16.71Au22.71Pd42.57Pt18.00,0.39701965
110,15.34,20.81,46.17,17.68,Ag15.34Au20.81Pd46.17Pt17.68,0.3961798
111,15.25,19.42,48.35,16.98,Ag15.25Au19.42Pd48.35Pt16.98,0.394863
112,13.3,17.74,52.29,16.67,Ag13.30Au17.74Pd52.29Pt16.67,0.3938549
113,12.6,16.59,55.18,15.63,Ag12.60Au16.59Pd55.18Pt15.63,0.3919039
114,11.62,14.73,59.08,14.57,Ag11.62Au14.73Pd59.08Pt14.57,0.38960958
115,38.75,36.99,6.85,17.42,Ag38.75Au36.99Pd6.85Pt17.42,0.39157462
116,37.1,36.18,8.32,18.4,Ag37.10Au36.18Pd8.32Pt18.40,0.39357394
117,36.34,35.29,9.84,18.53,Ag36.34Au35.29Pd9.84Pt18.53,0.39415848
118,34.02,35.65,11.09,19.24,Ag34.02Au35.65Pd11.09Pt19.24,0.39583585
119,32.97,34.59,12.39,20.04,Ag32.97Au34.59Pd12.39Pt20.04,0.39732355
120,31.38,34.6,13.91,20.11,Ag31.38Au34.60Pd13.91Pt20.11,0.39792666
121,30.25,33.56,15.87,20.32,Ag30.25Au33.56Pd15.87Pt20.32,0.39863345
122,28.35,32.89,18.18,20.57,Ag28.35Au32.89Pd18.18Pt20.57,0.39952964
123,27.3,31.51,19.85,21.34,Ag27.30Au31.51Pd19.85Pt21.34,0.400851
124,24.94,31.08,23.01,20.96,Ag24.94Au31.08Pd23.01Pt20.96,0.4008973
125,23.82,28.78,26.24,21.16,Ag23.82Au28.78Pd26.24Pt21.16,0.401367
126,22.55,27.85,28.38,21.22,Ag22.55Au27.85Pd28.38Pt21.22,0.40161714
127,20.8,26.19,31.96,21.05,Ag20.80Au26.19Pd31.96Pt21.05,0.40150917
128,19.6,24.3,35.17,20.94,Ag19.60Au24.30Pd35.17Pt20.94,0.4012911
129,17.82,23.11,38.37,20.69,Ag17.82Au23.11Pd38.37Pt20.69,0.40089214
130,17.38,21.1,41.9,19.61,Ag17.38Au21.10Pd41.90Pt19.61,0.3990771
131,15.63,20.33,44.92,19.12,Ag15.63Au20.33Pd44.92Pt19.12,0.39819896
132,14.64,19.08,48.08,18.2,Ag14.64Au19.08Pd48.08Pt18.20,0.39655384
133,14.13,16.3,52.17,17.39,Ag14.13Au16.30Pd52.17Pt17.39,0.39466953
134,12.02,15.54,55.13,17.31,Ag12.02Au15.54Pd55.13Pt17.31,0.39409533
135,11.24,14.33,58.47,15.96,Ag11.24Au14.33Pd58.47Pt15.96,0.3915751
136,39.5,34.56,6.93,19.01,Ag39.50Au34.56Pd6.93Pt19.01,0.39360642
137,38.73,34.3,7.34,19.63,Ag38.73Au34.30Pd7.34Pt19.63,0.3947157
138,36.62,33.4,9.67,20.31,Ag36.62Au33.40Pd9.67Pt20.31,0.39650154
139,35.42,32.81,11.15,20.62,Ag35.42Au32.81Pd11.15Pt20.62,0.3973985
140,34.57,33.26,10.98,21.2,Ag34.57Au33.26Pd10.98Pt21.20,0.39835626
141,32.66,31.44,13.94,21.96,Ag32.66Au31.44Pd13.94Pt21.96,0.40013137
142,31.24,30.91,15.78,22.08,Ag31.24Au30.91Pd15.78Pt22.08,0.40076092
143,29.56,30.37,17.55,22.52,Ag29.56Au30.37Pd17.55Pt22.52,0.40182528
144,27.97,29.14,19.81,23.08,Ag27.97Au29.14Pd19.81Pt23.08,0.4029956
145,26.5,27.62,23.0,22.88,Ag26.50Au27.62Pd23.00Pt22.88,0.40310228
146,24.61,27.72,25.13,22.54,Ag24.61Au27.72Pd25.13Pt22.54,0.40302598
147,23.6,25.47,27.45,23.48,Ag23.60Au25.47Pd27.45Pt23.48,0.40435836
148,22.47,24.73,30.45,22.34,Ag22.47Au24.73Pd30.45Pt22.34,0.40296873
149,20.73,23.21,32.99,23.07,Ag20.73Au23.21Pd32.99Pt23.07,0.4040021
150,19.05,22.02,36.76,22.17,Ag19.05Au22.02Pd36.76Pt22.17,0.40275818
151,17.03,20.56,40.38,22.03,Ag17.03Au20.56Pd40.38Pt22.03,0.4024026
152,16.19,19.04,43.78,20.99,Ag16.19Au19.04Pd43.78Pt20.99,0.40066165
153,15.24,18.04,46.66,20.06,Ag15.24Au18.04Pd46.66Pt20.06,0.39908624
154,13.48,16.14,50.63,19.75,Ag13.48Au16.14Pd50.63Pt19.75,0.3980627
155,13.86,14.56,53.21,18.37,Ag13.86Au14.56Pd53.21Pt18.37,0.39565688
156,11.84,13.12,57.44,17.6,Ag11.84Au13.12Pd57.44Pt17.60,0.3938185
157,41.03,31.68,6.92,20.37,Ag41.03Au31.68Pd6.92Pt20.37,0.3950565
158,39.47,31.93,7.74,20.86,Ag39.47Au31.93Pd7.74Pt20.86,0.3962548
159,37.5,31.14,9.0,22.35,Ag37.50Au31.14Pd9.00Pt22.35,0.39893237
160,36.45,30.49,10.37,22.69,Ag36.45Au30.49Pd10.37Pt22.69,0.399816
161,35.08,30.28,11.55,23.09,Ag35.08Au30.28Pd11.55Pt23.09,0.40081444
162,33.92,30.5,12.38,23.2,Ag33.92Au30.50Pd12.38Pt23.20,0.40132403
163,31.82,29.45,14.72,24.01,Ag31.82Au29.45Pd14.72Pt24.01,0.40307724
164,29.87,28.2,17.56,24.37,Ag29.87Au28.20Pd17.56Pt24.37,0.40415928
165,28.36,27.99,18.91,24.75,Ag28.36Au27.99Pd18.91Pt24.75,0.40502724
166,27.05,26.93,21.01,25.0,Ag27.05Au26.93Pd21.01Pt25.00,0.4056797
167,26.17,24.91,23.77,25.16,Ag26.17Au24.91Pd23.77Pt25.16,0.40606135
168,24.32,23.78,26.22,25.68,Ag24.32Au23.78Pd26.22Pt25.68,0.4070214
169,23.02,22.88,29.1,25.0,Ag23.02Au22.88Pd29.10Pt25.00,0.40628555
170,20.68,21.54,32.81,24.96,Ag20.68Au21.54Pd32.81Pt24.96,0.40637046
171,19.25,20.6,35.34,24.81,Ag19.25Au20.60Pd35.34Pt24.81,0.40615606
172,18.51,19.24,37.9,24.34,Ag18.51Au19.24Pd37.90Pt24.34,0.4053693
173,17.3,17.3,42.49,22.91,Ag17.30Au17.30Pd42.49Pt22.91,0.40307438
174,15.22,16.61,45.81,22.36,Ag15.22Au16.61Pd45.81Pt22.36,0.4020819
175,15.33,15.01,48.12,21.53,Ag15.33Au15.01Pd48.12Pt21.53,0.40054792
176,13.29,14.29,51.99,20.43,Ag13.29Au14.29Pd51.99Pt20.43,0.3985728
177,13.36,11.95,55.54,19.16,Ag13.36Au11.95Pd55.54Pt19.16,0.39604855
178,41.61,29.72,6.42,22.24,Ag41.61Au29.72Pd6.42Pt22.24,0.39732873
179,40.87,29.36,7.37,22.4,Ag40.87Au29.36Pd7.37Pt22.40,0.39788043
180,38.77,29.25,8.81,23.18,Ag38.77Au29.25Pd8.81Pt23.18,0.39966846
181,37.6,28.41,10.02,23.97,Ag37.60Au28.41Pd10.02Pt23.97,0.40115738
182,35.39,28.34,11.47,24.81,Ag35.39Au28.34Pd11.47Pt24.81,0.4029653
183,34.16,27.11,12.91,25.81,Ag34.16Au27.11Pd12.91Pt25.81,0.4046892
184,32.44,26.51,14.42,26.63,Ag32.44Au26.51Pd14.42Pt26.63,0.40625638
185,30.95,26.1,16.17,26.79,Ag30.95Au26.10Pd16.17Pt26.79,0.40690953
186,29.95,25.18,18.14,26.73,Ag29.95Au25.18Pd18.14Pt26.73,0.40714988
187,27.67,24.51,20.39,27.43,Ag27.67Au24.51Pd20.39Pt27.43,0.40857112
188,26.22,23.09,23.09,27.6,Ag26.22Au23.09Pd23.09Pt27.60,0.40907875
189,25.13,21.86,26.18,26.83,Ag25.13Au21.86Pd26.18Pt26.83,0.40827072
190,23.1,21.74,28.4,26.77,Ag23.10Au21.74Pd28.40Pt26.77,0.40848053
191,21.42,19.92,31.65,27.01,Ag21.42Au19.92Pd31.65Pt27.01,0.40882808
192,19.42,19.28,34.82,26.47,Ag19.42Au19.28Pd34.82Pt26.47,0.40819418
193,18.0,17.23,38.15,26.62,Ag18.00Au17.23Pd38.15Pt26.62,0.40814084
194,17.56,16.64,40.61,25.19,Ag17.56Au16.64Pd40.61Pt25.19,0.40610924
195,15.86,14.76,44.27,25.12,Ag15.86Au14.76Pd44.27Pt25.12,0.4055926
196,14.63,14.18,47.76,23.43,Ag14.63Au14.18Pd47.76Pt23.43,0.40301323
197,13.56,13.56,50.72,22.17,Ag13.56Au13.56Pd50.72Pt22.17,0.4009468
198,13.04,12.01,53.69,21.27,Ag13.04Au12.01Pd53.69Pt21.27,0.3991515
199,42.42,27.76,6.5,23.33,Ag42.42Au27.76Pd6.50Pt23.33,0.39854187
200,41.72,26.63,7.2,24.46,Ag41.72Au26.63Pd7.20Pt24.46,0.4003091
201,39.13,27.0,8.59,25.28,Ag39.13Au27.00Pd8.59Pt25.28,0.40227258
202,38.27,26.9,8.34,26.49,Ag38.27Au26.90Pd8.34Pt26.49,0.40402317
203,36.08,25.84,10.76,27.32,Ag36.08Au25.84Pd10.76Pt27.32,0.4059125
204,34.72,26.18,11.24,27.87,Ag34.72Au26.18Pd11.24Pt27.87,0.40699267
205,33.19,24.97,13.76,28.08,Ag33.19Au24.97Pd13.76Pt28.08,0.40783784
206,31.99,23.57,15.63,28.82,Ag31.99Au23.57Pd15.63Pt28.82,0.40914398
207,29.53,23.45,17.98,29.04,Ag29.53Au23.45Pd17.98Pt29.04,0.41008088
208,27.41,23.09,19.63,29.88,Ag27.41Au23.09Pd19.63Pt29.88,0.41159138
209,26.3,21.48,22.47,29.75,Ag26.30Au21.48Pd22.47Pt29.75,0.4116606
210,24.36,20.05,25.17,30.42,Ag24.36Au20.05Pd25.17Pt30.42,0.41276324
211,22.78,19.41,27.14,30.66,Ag22.78Au19.41Pd27.14Pt30.66,0.41324708
212,22.31,18.46,30.72,28.51,Ag22.31Au18.46Pd30.72Pt28.51,0.410527
213,19.88,17.69,33.92,28.51,Ag19.88Au17.69Pd33.92Pt28.51,0.41062915
214,19.02,16.87,35.89,28.22,Ag19.02Au16.87Pd35.89Pt28.22,0.41017827
215,17.22,15.17,39.81,27.8,Ag17.22Au15.17Pd39.81Pt27.80,0.40936458
216,15.77,14.31,43.41,26.5,Ag15.77Au14.31Pd43.41Pt26.50,0.4074007
217,14.46,13.27,45.58,26.7,Ag14.46Au13.27Pd45.58Pt26.70,0.4073562
218,13.09,12.73,49.27,24.91,Ag13.09Au12.73Pd49.27Pt24.91,0.40460423
219,13.54,11.0,51.95,23.52,Ag13.54Au11.00Pd51.95Pt23.52,0.4022047
220,43.09,25.08,6.45,25.38,Ag43.09Au25.08Pd6.45Pt25.38,0.40099174
221,41.47,25.48,6.4,26.65,Ag41.47Au25.48Pd6.40Pt26.65,0.40308356
222,40.08,24.61,7.89,27.41,Ag40.08Au24.61Pd7.89Pt27.41,0.4046278
223,38.56,24.64,8.97,27.84,Ag38.56Au24.64Pd8.97Pt27.84,0.40570968
224,36.92,24.22,9.47,29.39,Ag36.92Au24.22Pd9.47Pt29.39,0.40813112
225,35.36,23.2,11.49,29.95,Ag35.36Au23.20Pd11.49Pt29.95,0.4094089
226,33.93,22.58,12.7,30.79,Ag33.93Au22.58Pd12.70Pt30.79,0.41088152
227,31.94,21.6,15.21,31.24,Ag31.94Au21.60Pd15.21Pt31.24,0.41205513
228,30.5,21.39,16.65,31.47,Ag30.50Au21.39Pd16.65Pt31.47,0.41272074
229,28.89,20.42,18.93,31.76,Ag28.89Au20.42Pd18.93Pt31.76,0.4134783
230,26.81,19.71,20.89,32.59,Ag26.81Au19.71Pd20.89Pt32.59,0.41489896
231,25.36,19.35,23.27,32.03,Ag25.36Au19.35Pd23.27Pt32.03,0.41450083
232,23.68,17.55,26.74,32.03,Ag23.68Au17.55Pd26.74Pt32.03,0.41466248
233,22.45,17.23,28.85,31.46,Ag22.45Au17.23Pd28.85Pt31.46,0.41409323
234,20.64,16.06,31.5,31.8,Ag20.64Au16.06Pd31.50Pt31.80,0.4145501
235,18.47,14.56,36.19,30.78,Ag18.47Au14.56Pd36.19Pt30.78,0.41315216
236,18.2,14.08,37.97,29.75,Ag18.20Au14.08Pd37.97Pt29.75,0.41174373
237,16.81,12.69,41.17,29.33,Ag16.81Au12.69Pd41.17Pt29.33,0.410911
238,14.84,11.8,44.18,29.17,Ag14.84Au11.80Pd44.18Pt29.17,0.41041055
239,13.52,11.74,48.22,26.51,Ag13.52Au11.74Pd48.22Pt26.51,0.4066435
240,12.85,10.24,51.22,25.69,Ag12.85Au10.24Pd51.22Pt25.69,0.4050064
241,42.08,22.92,6.77,28.23,Ag42.08Au22.92Pd6.77Pt28.23,0.40492737
242,40.56,22.18,7.79,29.47,Ag40.56Au22.18Pd7.79Pt29.47,0.40702364
243,39.02,22.57,8.43,29.99,Ag39.02Au22.57Pd8.43Pt29.99,0.40817124
244,37.46,21.8,9.53,31.22,Ag37.46Au21.80Pd9.53Pt31.22,0.41020173
245,36.37,21.7,10.38,31.55,Ag36.37Au21.70Pd10.38Pt31.55,0.4109723
246,34.47,20.54,12.4,32.59,Ag34.47Au20.54Pd12.40Pt32.59,0.41285342
247,32.86,20.07,13.97,33.1,Ag32.86Au20.07Pd13.97Pt33.10,0.41394874
248,30.66,19.16,15.7,34.49,Ag30.66Au19.16Pd15.70Pt34.49,0.41615164
249,28.8,18.7,18.2,34.29,Ag28.80Au18.70Pd18.20Pt34.29,0.41640812
250,26.93,17.91,20.62,34.54,Ag26.93Au17.91Pd20.62Pt34.54,0.417089
251,25.33,16.97,22.58,35.12,Ag25.33Au16.97Pd22.58Pt35.12,0.41802102
252,23.71,16.43,25.14,34.71,Ag23.71Au16.43Pd25.14Pt34.71,0.41777253
253,22.91,15.5,27.51,34.08,Ag22.91Au15.50Pd27.51Pt34.08,0.41705257
254,20.57,15.05,30.7,33.68,Ag20.57Au15.05Pd30.70Pt33.68,0.4167456
255,18.86,14.06,33.23,33.85,Ag18.86Au14.06Pd33.23Pt33.85,0.41691872
256,17.82,12.11,36.85,33.22,Ag17.82Au12.11Pd36.85Pt33.22,0.41583994
257,16.75,12.14,39.32,31.79,Ag16.75Au12.14Pd39.32Pt31.79,0.41401416
258,15.09,11.49,42.54,30.87,Ag15.09Au11.49Pd42.54Pt30.87,0.41261667
259,13.76,11.29,45.86,29.1,Ag13.76Au11.29Pd45.86Pt29.10,0.4100999
260,42.46,20.41,6.26,30.87,Ag42.46Au20.41Pd6.26Pt30.87,0.40797746
261,41.38,20.44,7.58,30.61,Ag41.38Au20.44Pd7.58Pt30.61,0.40813464
262,39.29,20.27,8.25,32.18,Ag39.29Au20.27Pd8.25Pt32.18,0.41070732
263,37.86,20.04,9.02,33.07,Ag37.86Au20.04Pd9.02Pt33.07,0.41223904
264,35.99,19.62,10.2,34.19,Ag35.99Au19.62Pd10.20Pt34.19,0.4141563
265,34.17,18.97,11.43,35.43,Ag34.17Au18.97Pd11.43Pt35.43,0.41614714
266,33.04,18.81,13.24,34.9,Ag33.04Au18.81Pd13.24Pt34.90,0.4159385
267,31.34,18.03,15.42,35.2,Ag31.34Au18.03Pd15.42Pt35.20,0.41678283
268,29.4,16.93,16.93,36.75,Ag29.40Au16.93Pd16.93Pt36.75,0.41899416
269,27.17,15.49,19.95,37.4,Ag27.17Au15.49Pd19.95Pt37.40,0.42018542
270,25.67,15.94,22.0,36.39,Ag25.67Au15.94Pd22.00Pt36.39,0.41936162
271,23.71,14.86,24.0,37.43,Ag23.71Au14.86Pd24.00Pt37.43,0.42078906
272,22.27,14.13,27.04,36.56,Ag22.27Au14.13Pd27.04Pt36.56,0.41991344
273,21.15,13.22,29.24,36.39,Ag21.15Au13.22Pd29.24Pt36.39,0.41972423
274,19.18,12.52,32.17,36.13,Ag19.18Au12.52Pd32.17Pt36.13,0.4194477
275,17.7,12.3,34.59,35.41,Ag17.70Au12.30Pd34.59Pt35.41,0.4185865
276,17.58,10.83,37.48,34.1,Ag17.58Au10.83Pd37.48Pt34.10,0.41671094
277,16.14,10.76,40.63,32.47,Ag16.14Au10.76Pd40.63Pt32.47,0.4145878
278,14.9,9.69,43.81,31.6,Ag14.90Au9.69Pd43.81Pt31.60,0.41314256
279,41.12,18.18,7.02,33.68,Ag41.12Au18.18Pd7.02Pt33.68,0.41179314
280,39.69,17.99,7.85,34.46,Ag39.69Au17.99Pd7.85Pt34.46,0.4132102
281,38.41,17.63,8.81,35.15,Ag38.41Au17.63Pd8.81Pt35.15,0.41445714
282,36.01,17.37,10.49,36.13,Ag36.01Au17.37Pd10.49Pt36.13,0.4163723
283,35.01,17.01,11.14,36.84,Ag35.01Au17.01Pd11.14Pt36.84,0.4174797
284,33.21,17.22,12.14,37.42,Ag33.21Au17.22Pd12.14Pt37.42,0.41865987
285,31.02,15.94,14.48,38.56,Ag31.02Au15.94Pd14.48Pt38.56,0.4205341
286,28.61,15.72,16.37,39.3,Ag28.61Au15.72Pd16.37Pt39.30,0.42193386
287,28.37,14.33,17.63,39.67,Ag28.37Au14.33Pd17.63Pt39.67,0.42236683
288,26.21,14.48,20.28,39.03,Ag26.21Au14.48Pd20.28Pt39.03,0.42212862
289,24.11,13.15,23.01,39.73,Ag24.11Au13.15Pd23.01Pt39.73,0.4231732
