Index,Ag,Au,Pd,Pt
55,12.2,23.07,51.64,13.1
56,12.37,20.36,54.9,12.37
57,34.16,43.03,8.76,14.05
58,32.46,42.4,10.6,14.54
59,31.04,41.65,12.19,15.12
60,29.9,41.71,13.09,15.3
61,28.42,39.7,15.88,16.0
62,27.07,39.21,17.85,15.87
63,26.46,38.51,19.25,15.78
64,24.25,37.33,21.97,16.45
65,23.08,35.78,25.03,16.12
66,20.54,34.44,28.7,16.33
67,20.4,32.67,30.4,16.53
68,18.84,30.58,34.32,16.26
69,18.07,28.92,37.35,15.66
70,16.36,26.71,41.68,15.24
71,15.39,24.9,44.85,14.86
72,14.62,23.48,46.97,14.93
73,13.76,21.64,50.23,14.37
74,11.98,20.13,54.31,13.58
75,11.72,18.46,56.98,12.84
76,34.97,40.72,9.03,15.28
77,33.37,40.06,10.48,16.09
78,32.38,39.68,11.85,16.08
79,31.08,38.96,13.54,16.43
80,28.9,38.43,15.28,17.39
81,27.6,37.56,17.87,16.97
82,27.41,36.54,18.88,17.17
83,24.32,35.84,22.26,17.58
84,23.78,34.57,24.71,16.94
85,22.91,32.43,27.26,17.39
86,20.72,31.53,30.37,17.37
87,18.72,29.9,34.11,17.27
88,18.36,27.61,36.73,17.29
89,17.56,26.06,39.8,16.57
90,15.97,24.58,43.33,16.11
91,14.55,22.58,46.82,16.06
92,14.47,20.03,50.15,15.35
93,12.33,19.17,53.64,14.86
94,11.95,17.02,56.46,14.57
95,37.81,38.73,7.68,15.78
96,35.91,38.37,8.47,17.26
97,35.29,37.91,9.63,17.17
98,33.51,36.91,12.02,17.55
99,32.46,37.17,12.94,17.43
100,30.17,36.34,14.63,18.86
101,28.98,35.34,16.82,18.86
102,27.73,34.52,18.87,18.87
103,26.48,33.37,20.92,19.23
104,24.37,32.41,23.89,19.33
105,24.1,30.0,26.87,19.04
106,22.06,29.5,29.37,19.06
107,19.31,27.91,33.2,19.58
108,20.54,25.77,35.3,18.39
109,17.8,24.86,38.84,18.5
110,16.71,22.71,42.57,18.0
111,15.34,20.81,46.17,17.68
112,15.25,19.42,48.35,16.98
113,13.3,17.74,52.29,16.67
114,12.6,16.59,55.18,15.63
115,11.62,14.73,59.08,14.57
116,38.75,36.99,6.85,17.42
117,37.1,36.18,8.32,18.4
118,36.34,35.29,9.84,18.53
119,34.02,35.65,11.09,19.24
120,32.97,34.59,12.39,20.04
121,31.38,34.6,13.91,20.11
122,30.25,33.56,15.87,20.32
123,28.35,32.89,18.18,20.57
124,27.3,31.51,19.85,21.34
125,24.94,31.08,23.01,20.96
126,23.82,28.78,26.24,21.16
127,22.55,27.85,28.38,21.22
128,20.8,26.19,31.96,21.05
129,19.6,24.3,35.17,20.94
130,17.82,23.11,38.37,20.69
131,17.38,21.1,41.9,19.61
132,15.63,20.33,44.92,19.12
133,14.64,19.08,48.08,18.2
134,14.13,16.3,52.17,17.39
135,12.02,15.54,55.13,17.31
136,11.24,14.33,58.47,15.96
137,39.5,34.56,6.93,19.01
138,38.73,34.3,7.34,19.63
139,36.62,33.4,9.67,20.31
140,35.42,32.81,11.15,20.62
141,34.57,33.26,10.98,21.2
142,32.66,31.44,13.94,21.96
143,31.24,30.91,15.78,22.08
144,29.56,30.37,17.55,22.52
145,27.97,29.14,19.81,23.08
146,26.5,27.62,23.0,22.88
147,24.61,27.72,25.13,22.54
148,23.6,25.47,27.45,23.48
149,22.47,24.73,30.45,22.34
150,20.73,23.21,32.99,23.07
151,19.05,22.02,36.76,22.17
152,17.03,20.56,40.38,22.03
153,16.19,19.04,43.78,20.99
154,15.24,18.04,46.66,20.06
155,13.48,16.14,50.63,19.75
156,13.86,14.56,53.21,18.37
157,11.84,13.12,57.44,17.6
158,41.03,31.68,6.92,20.37
159,39.47,31.93,7.74,20.86
160,37.5,31.14,9.0,22.35
161,36.45,30.49,10.37,22.69
162,35.08,30.28,11.55,23.09
163,33.92,30.5,12.38,23.2
164,31.82,29.45,14.72,24.01
165,29.87,28.2,17.56,24.37
166,28.36,27.99,18.91,24.75
167,27.05,26.93,21.01,25.0
168,26.17,24.91,23.77,25.16
169,24.32,23.78,26.22,25.68
170,23.02,22.88,29.1,25.0
171,20.68,21.54,32.81,24.96
172,19.25,20.6,35.34,24.81
173,18.51,19.24,37.9,24.34
174,17.3,17.3,42.49,22.91
175,15.22,16.61,45.81,22.36
176,15.33,15.01,48.12,21.53
177,13.29,14.29,51.99,20.43
178,13.36,11.95,55.54,19.16
179,41.61,29.72,6.42,22.24
180,40.87,29.36,7.37,22.4
181,38.77,29.25,8.81,23.18
182,37.6,28.41,10.02,23.97
183,35.39,28.34,11.47,24.81
184,34.16,27.11,12.91,25.81
185,32.44,26.51,14.42,26.63
186,30.95,26.1,16.17,26.79
187,29.95,25.18,18.14,26.73
188,27.67,24.51,20.39,27.43
189,26.22,23.09,23.09,27.6
190,25.13,21.86,26.18,26.83
191,23.1,21.74,28.4,26.77
192,21.42,19.92,31.65,27.01
193,19.42,19.28,34.82,26.47
194,18.0,17.23,38.15,26.62
195,17.56,16.64,40.61,25.19
196,15.86,14.76,44.27,25.12
197,14.63,14.18,47.76,23.43
198,13.56,13.56,50.72,22.17
199,13.04,12.01,53.69,21.27
200,42.42,27.76,6.5,23.33
201,41.72,26.63,7.2,24.46
202,39.13,27.0,8.59,25.28
203,38.27,26.9,8.34,26.49
204,36.08,25.84,10.76,27.32
205,34.72,26.18,11.24,27.87
206,33.19,24.97,13.76,28.08
207,31.99,23.57,15.63,28.82
208,29.53,23.45,17.98,29.04
209,27.41,23.09,19.63,29.88
210,26.3,21.48,22.47,29.75
211,24.36,20.05,25.17,30.42
212,22.78,19.41,27.14,30.66
213,22.31,18.46,30.72,28.51
214,19.88,17.69,33.92,28.51
215,19.02,16.87,35.89,28.22
216,17.22,15.17,39.81,27.8
217,15.77,14.31,43.41,26.5
218,14.46,13.27,45.58,26.7
219,13.09,12.73,49.27,24.91
220,13.54,11.0,51.95,23.52
221,43.09,25.08,6.45,25.38
222,41.47,25.48,6.4,26.65
223,40.08,24.61,7.89,27.41
224,38.56,24.64,8.97,27.84
225,36.92,24.22,9.47,29.39
226,35.36,23.2,11.49,29.95
227,33.93,22.58,12.7,30.79
228,31.94,21.6,15.21,31.24
229,30.5,21.39,16.65,31.47
230,28.89,20.42,18.93,31.76
231,26.81,19.71,20.89,32.59
232,25.36,19.35,23.27,32.03
233,23.68,17.55,26.74,32.03
234,22.45,17.23,28.85,31.46
235,20.64,16.06,31.5,31.8
236,18.47,14.56,36.19,30.78
237,18.2,14.08,37.97,29.75
238,16.81,12.69,41.17,29.33
239,14.84,11.8,44.18,29.17
240,13.52,11.74,48.22,26.51
241,12.85,10.24,51.22,25.69
242,42.08,22.92,6.77,28.23
243,40.56,22.18,7.79,29.47
244,39.02,22.57,8.43,29.99
245,37.46,21.8,9.53,31.22
246,36.37,21.7,10.38,31.55
247,34.47,20.54,12.4,32.59
248,32.86,20.07,13.97,33.1
249,30.66,19.16,15.7,34.49
250,28.8,18.7,18.2,34.29
251,26.93,17.91,20.62,34.54
252,25.33,16.97,22.58,35.12
253,23.71,16.43,25.14,34.71
254,22.91,15.5,27.51,34.08
255,20.57,15.05,30.7,33.68
256,18.86,14.06,33.23,33.85
257,17.82,12.11,36.85,33.22
258,16.75,12.14,39.32,31.79
259,15.09,11.49,42.54,30.87
260,13.76,11.29,45.86,29.1
261,42.46,20.41,6.26,30.87
262,41.38,20.44,7.58,30.61
263,39.29,20.27,8.25,32.18
264,37.86,20.04,9.02,33.07
265,35.99,19.62,10.2,34.19
266,34.17,18.97,11.43,35.43
267,33.04,18.81,13.24,34.9
268,31.34,18.03,15.42,35.2
269,29.4,16.93,16.93,36.75
270,27.17,15.49,19.95,37.4
271,25.67,15.94,22.0,36.39
272,23.71,14.86,24.0,37.43
273,22.27,14.13,27.04,36.56
274,21.15,13.22,29.24,36.39
275,19.18,12.52,32.17,36.13
276,17.7,12.3,34.59,35.41
277,17.58,10.83,37.48,34.1
278,16.14,10.76,40.63,32.47
279,14.9,9.69,43.81,31.6
280,41.12,18.18,7.02,33.68
281,39.69,17.99,7.85,34.46
282,38.41,17.63,8.81,35.15
283,36.01,17.37,10.49,36.13
284,35.01,17.01,11.14,36.84
285,33.21,17.22,12.14,37.42
286,31.02,15.94,14.48,38.56
287,28.61,15.72,16.37,39.3
288,28.37,14.33,17.63,39.67
289,26.21,14.48,20.28,39.03
290,24.11,13.15,23.01,39.73
291,22.58,12.42,25.45,39.55
292,20.39,11.97,28.16,39.48
293,19.63,12.08,30.03,38.26
294,18.17,11.01,32.84,37.98
295,17.33,10.17,36.67,35.83
296,15.76,9.19,39.02,36.02
297,40.07,16.12,6.58,37.23
298,38.05,16.67,8.05,37.24
299,36.35,15.72,10.06,37.86
300,34.31,16.05,10.54,39.09
301,31.74,15.41,12.35,40.5
302,31.65,14.23,13.3,40.82
303,29.16,13.98,15.57,41.29
304,27.32,14.07,17.08,41.53
305,25.26,13.52,18.87,42.35
306,24.07,12.26,21.38,42.3
307,23.05,11.45,23.53,41.97
308,20.69,10.5,26.96,41.85
309,19.9,10.11,29.2,40.78
310,17.73,9.04,32.27,40.96
311,16.76,9.68,33.52,40.04
312,37.5,14.64,8.22,39.64
313,37.11,14.09,8.71,40.09
314,33.42,14.36,10.67,41.55
315,32.56,13.72,11.28,42.44
316,30.66,12.89,13.03,43.42
317,29.32,12.33,14.66,43.7
318,27.34,12.13,16.18,44.35
319,25.74,11.61,17.86,44.79
320,24.31,10.55,20.34,44.8
321,22.83,10.77,22.19,44.21
322,20.92,9.88,24.22,44.98
323,19.74,9.22,27.51,43.53
324,18.26,8.33,29.79,43.62
325,35.88,12.88,7.88,43.38
326,33.97,12.26,9.58,44.19
327,32.37,11.58,11.84,44.21
328,29.96,11.65,12.34,46.05
329,28.3,11.44,13.93,46.33
330,27.47,10.34,14.92,47.27
331,25.38,10.24,16.97,47.4
332,24.68,9.65,18.51,47.15
333,22.34,8.59,21.13,47.94
334,20.4,8.94,23.27,47.39
335,18.96,7.87,25.22,47.94
336,33.16,10.23,9.97,46.63
337,30.34,10.48,11.59,47.59
338,29.19,10.12,12.28,48.41
339,26.29,9.6,14.03,50.07
340,24.61,8.98,16.72,49.69
341,23.53,9.06,17.97,49.44
342,22.05,7.69,19.83,50.43
