Index,Au,Cu,Pd,Pt
97,44.75,9.86,21.15,24.24
98,44.16,9.62,21.91,24.32
99,42.12,11.13,22.94,23.81
100,38.14,12.09,25.75,24.03
101,37.47,12.62,27.17,22.75
102,35.16,13.75,28.47,22.62
103,32.49,14.22,31.64,21.65
104,30.12,14.17,34.03,21.67
105,27.55,14.9,36.46,21.09
106,24.9,16.18,38.96,19.96
107,23.53,16.4,41.08,18.99
108,20.86,18.66,42.27,18.21
109,19.09,18.02,45.28,17.61
110,17.27,19.38,46.78,16.57
111,15.76,21.04,48.04,15.15
112,14.26,19.92,50.97,14.85
113,12.73,20.88,52.64,13.75
114,11.21,21.91,54.05,12.83
115,10.16,22.1,55.65,12.09
116,47.23,8.67,17.15,26.95
117,44.53,11.16,17.2,27.11
118,43.25,10.17,18.52,28.06
119,41.66,10.42,20.89,27.03
120,38.87,10.71,23.61,26.81
121,37.28,11.8,24.29,26.64
122,34.68,13.37,26.33,25.61
123,32.39,13.61,29.36,24.64
124,31.62,13.32,30.36,24.69
125,28.9,14.91,32.72,23.47
126,26.78,16.34,34.03,22.86
127,23.38,17.15,37.67,21.8
128,22.08,17.3,39.55,21.08
129,20.08,18.5,41.45,19.97
130,17.44,19.07,43.9,19.59
131,16.42,20.8,44.77,18.01
132,14.51,21.02,47.3,17.17
133,12.88,21.91,49.0,16.21
134,12.35,21.67,51.06,14.92
135,10.57,23.22,52.28,13.93
136,9.63,23.69,53.51,13.16
137,44.95,9.22,15.96,29.87
138,41.7,10.39,18.08,29.83
139,40.24,11.19,18.36,30.21
140,38.79,10.14,20.66,30.42
141,36.32,12.01,21.94,29.73
142,34.92,13.06,23.55,28.48
143,32.21,13.71,25.69,28.39
144,30.44,14.37,27.52,27.67
145,28.75,15.0,29.14,27.11
146,26.33,15.9,31.84,25.93
147,24.2,17.26,33.06,25.48
148,22.3,17.71,35.75,24.23
149,20.18,18.82,37.82,23.18
150,18.25,19.86,39.79,22.09
151,17.15,20.78,41.36,20.71
152,14.95,21.54,43.53,19.99
153,13.89,22.21,45.31,18.59
154,12.2,23.69,46.85,17.26
155,11.31,23.69,48.79,16.21
156,10.1,24.35,50.68,14.87
157,9.25,23.82,52.47,14.47
158,41.12,10.72,15.3,32.86
159,40.19,10.33,16.16,33.32
160,38.23,10.9,17.97,32.9
161,35.93,12.09,19.48,32.5
162,34.05,12.29,21.06,32.61
163,31.31,13.61,22.76,32.32
164,29.84,14.2,23.66,32.3
165,28.44,15.46,25.22,30.88
166,26.23,15.37,28.7,29.71
167,24.23,17.05,30.2,28.52
168,22.89,17.05,32.09,27.97
169,19.78,19.44,34.01,26.77
170,19.08,19.85,35.64,25.42
171,17.14,20.52,38.38,23.96
172,15.8,21.88,39.36,22.96
173,14.53,22.74,41.2,21.53
174,12.96,22.78,43.77,20.49
175,11.63,23.92,45.38,19.07
176,10.53,24.26,47.38,17.84
177,9.18,25.25,48.81,16.76
178,8.58,25.44,50.46,15.52
179,39.39,9.83,14.47,36.31
180,37.03,10.64,15.3,37.03
181,35.36,10.66,17.27,36.72
182,33.24,12.35,18.14,36.28
183,31.54,12.79,19.68,36.0
184,29.61,12.92,22.54,34.93
185,28.13,14.67,23.12,34.08
186,26.45,16.14,24.39,33.02
187,24.18,16.28,27.13,32.41
188,22.47,17.89,28.34,31.3
189,21.02,19.12,29.54,30.32
190,18.96,19.86,32.52,28.66
191,17.66,20.76,33.64,27.95
192,16.08,21.78,35.93,26.21
193,14.73,22.52,38.12,24.63
194,13.04,23.82,39.84,23.3
195,12.16,24.42,41.55,21.86
196,10.46,25.59,43.28,20.68
197,9.82,25.42,45.23,19.52
198,9.26,26.23,46.75,17.76
199,8.42,27.55,47.65,16.38
200,35.99,9.23,14.76,40.02
201,34.63,10.2,15.08,40.09
202,32.34,11.66,16.72,39.27
203,31.08,12.18,17.79,38.96
204,29.53,13.14,18.82,38.51
205,27.33,13.66,20.62,38.39
206,26.09,14.78,22.04,37.08
207,23.88,15.92,23.22,36.98
208,22.06,17.22,25.59,35.13
209,21.11,18.5,27.18,33.22
210,18.98,19.47,28.71,32.84
211,17.47,20.54,30.68,31.31
212,15.76,20.86,33.37,30.01
213,14.53,22.88,34.34,28.26
214,13.12,23.12,36.58,27.17
215,11.95,23.93,38.54,25.58
216,11.08,25.21,39.96,23.75
217,10.17,27.09,40.74,21.99
218,9.21,26.63,43.1,21.05
219,8.37,26.6,45.23,19.8
220,7.98,28.28,46.04,17.7
221,32.55,11.44,13.22,42.79
222,31.46,11.45,14.43,42.65
223,29.93,12.07,15.83,42.17
224,28.62,12.77,16.47,42.14
225,26.72,14.02,18.49,40.77
226,25.29,14.47,19.56,40.68
227,23.09,15.25,21.5,40.17
228,22.39,16.63,21.38,39.61
229,20.96,18.15,23.89,37.0
230,18.7,18.93,26.5,35.87
231,17.5,19.18,27.76,35.56
232,16.03,20.82,28.88,34.27
233,15.5,21.65,31.36,31.49
234,14.08,23.1,32.52,30.29
235,12.6,25.03,33.73,28.65
236,11.53,24.67,36.39,27.41
237,10.35,26.21,38.04,25.4
238,9.78,26.97,38.86,24.39
239,8.89,27.46,41.39,22.26
240,8.01,28.61,42.56,20.82
241,7.04,29.28,44.15,19.54
242,28.49,10.92,14.09,46.5
243,27.31,12.7,14.54,45.45
244,25.35,13.21,15.61,45.83
245,24.74,13.92,16.98,44.37
246,23.27,14.94,17.4,44.39
247,21.75,16.28,19.11,42.87
248,20.46,16.07,21.71,41.76
249,18.91,18.25,22.78,40.07
250,16.85,19.64,24.17,39.34
251,17.18,19.7,25.4,37.72
252,14.81,21.08,28.12,35.99
253,13.53,22.48,29.48,34.51
254,12.8,23.67,31.19,32.34
255,11.29,25.33,32.51,30.87
256,11.04,24.76,34.72,29.47
257,9.94,26.74,35.77,27.55
258,8.67,28.09,37.35,25.89
259,8.0,28.51,39.48,24.01
260,7.23,29.94,40.37,22.45
261,26.38,12.09,12.27,49.26
262,24.82,12.11,14.09,48.97
263,23.76,13.18,15.08,47.98
264,21.89,13.99,15.97,48.16
265,21.05,14.46,17.56,46.92
266,19.23,16.78,18.79,45.21
267,18.32,17.1,20.53,44.06
268,16.98,18.12,22.06,42.83
269,15.15,18.96,24.05,41.84
270,14.4,20.45,24.6,40.54
271,13.04,22.89,25.71,38.36
272,12.24,23.97,26.28,37.51
273,12.04,24.54,28.78,34.65
274,10.94,25.15,30.88,33.03
275,9.73,26.76,32.02,31.49
276,9.18,26.52,34.47,29.82
277,8.43,28.32,35.54,27.71
278,7.55,29.53,37.21,25.7
279,6.87,30.62,38.63,23.88
280,22.26,12.25,13.06,52.42
281,21.37,13.62,14.77,50.23
282,20.74,14.24,14.74,50.28
283,18.72,15.8,16.92,48.56
284,17.53,16.39,17.96,48.12
285,16.8,18.59,18.22,46.4
286,15.11,18.3,21.04,45.55
287,14.05,20.16,21.78,44.01
288,13.72,20.93,23.4,41.95
289,12.53,22.99,24.02,40.46
290,11.41,23.65,25.9,39.04
291,10.43,25.06,28.13,36.38
292,9.43,26.2,28.58,35.79
293,9.12,27.61,30.02,33.25
294,8.56,28.06,31.99,31.39
295,7.61,28.68,33.76,29.95
296,6.78,30.31,35.45,27.46
297,19.28,14.15,13.57,53.0
298,18.17,16.07,14.28,51.47
299,17.63,16.33,14.74,51.29
300,15.15,17.42,16.54,50.88
301,14.88,17.88,17.88,49.36
302,15.05,19.26,17.96,47.72
303,13.48,19.48,20.63,46.41
304,12.72,21.91,21.55,43.81
305,11.48,22.89,22.63,43.0
306,10.62,24.44,24.19,40.75
307,9.85,25.81,25.64,38.7
308,8.97,25.88,27.67,37.47
309,8.19,27.91,28.88,35.03
310,7.34,29.04,30.23,33.39
311,7.13,30.44,31.33,31.09
312,17.04,14.69,13.5,54.76
313,15.59,15.89,14.29,54.22
314,14.87,16.71,16.41,52.01
315,13.94,18.31,16.96,50.79
316,13.51,18.94,17.81,49.73
317,12.89,20.53,18.83,47.74
318,11.74,21.46,20.72,46.08
319,10.64,23.16,21.48,44.73
320,9.25,24.5,23.2,43.05
321,8.14,26.22,24.56,41.08
322,8.19,27.01,25.73,39.07
323,7.29,28.96,26.46,37.29
324,6.82,30.56,27.82,34.8
325,13.81,16.46,13.44,56.28
326,13.48,16.55,15.23,54.73
327,12.39,18.17,15.61,53.83
328,11.22,20.06,16.75,51.98
329,10.89,21.47,17.48,50.16
330,10.44,21.46,19.33,48.77
331,9.99,23.42,20.3,46.28
332,8.69,26.34,20.52,44.45
333,8.69,26.61,21.95,42.76
334,7.67,27.29,24.11,40.93
335,7.09,29.08,24.46,39.36
336,11.33,17.67,14.84,56.16
337,10.94,20.02,15.33,53.71
338,10.15,20.98,16.58,52.29
339,9.22,22.9,17.5,50.37
340,8.65,23.85,18.28,49.22
341,8.15,24.36,19.92,47.57
342,8.11,26.77,20.33,44.78
